[INFO ] 2015-11-24 22:32:29,251 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[WARN ] 2015-11-24 22:32:29,251 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-11-24 22:35:45,877 razborpoletov.reader.parsers.StatisticParser - File /Users/artemvlasov/git/razbor-poletov.github.com/source/_posts/2015-02-08-episode-77.adoc has no audio tag
[WARN ] 2015-11-24 22:35:45,878 razborpoletov.reader.parsers.StatisticParser - Podcast  has no mp3 file link
[INFO ] 2015-12-28 16:08:57,671 razborpoletov.reader.App - We cannot find several files with provided podcast numbers
[INFO ] 2015-12-28 16:11:58,624 razborpoletov.reader.App - All podcasts are parsed
[INFO ] 2015-12-28 16:16:27,903 razborpoletov.reader.utils.UrlUtils - https://plumbr.eu/landing/handbook-java-lang-outofmemoryerror url has no github links
[INFO ] 2015-12-28 16:16:29,220 razborpoletov.reader.utils.UrlUtils - https://bugsnag.com/ url has no github links
[INFO ] 2015-12-28 16:16:35,170 razborpoletov.reader.parsers.UsefulThingParser - Url https://livesql.oracle.com/ return error with status 405
[WARN ] 2015-12-28 16:16:35,948 razborpoletov.reader.parsers.UsefulThingParser - {} url not contains html body
[INFO ] 2015-12-28 16:16:38,722 razborpoletov.reader.utils.UrlUtils - https://cloudharmony.com/speedtest url has no github links
[INFO ] 2015-12-28 16:16:41,236 razborpoletov.reader.parsers.UsefulThingParser - Url https://www.loggly.com/ultimate-guide/ return error with status 403
[INFO ] 2015-12-28 16:16:43,716 razborpoletov.reader.parsers.UsefulThingParser - Url http://www.amazon.com/Data-Structures-Algorithms-Java-Edition-ebook/dp/B00JDRQF8C/ return error with status 405
[INFO ] 2015-12-28 16:16:43,887 razborpoletov.reader.parsers.UsefulThingParser - Url http://dataintensive.net/ return error with status 403
[WARN ] 2015-12-28 16:16:44,446 razborpoletov.reader.utils.UrlUtils - https://raft.github.io url contains more than one github links: [https://github.com/willemt/raft, https://github.com/streed/simpleRaft, https://github.com/andrewjstone/rafter, https://github.com/vanstee/giraft, https://github.com/belaban/jgroups-raft, https://github.com/cannedprimates/huckleberry, https://github.com/pvilas/raft, https://github.com/allengeorge/libraft, https://github.com/tetrapods/raft, https://github.com/dreyk/zraft_lib, https://github.com/uwplse/verdi, https://github.com/nackstein/lite-raft, https://github.com/Hoverbear/raft, https://github.com/archiecobbs/jsimpledb, https://github.com/saebyn/raft, https://github.com/vanstee/draft, https://github.com/benbjohnson/raft.js, https://github.com/yahoo/gondola, https://github.com/fxsjy/ins, https://github.com/rethinkdb/rethinkdb, https://github.com/jalvaro/raft, https://github.com/pgte/skiff-algorithm, https://github.com/mreiferson/pontoon, https://github.com/djui/eraft, https://github.com/stepist/scalaraft, https://github.com/ericmoritz/rafterl, https://github.com/atomix/copycat, https://github.com/haf/Flotten, https://github.com/echaozh/cppa-raft, https://github.com/ongardie/raftscope, https://github.com/trevorbernard/dinghy, https://github.com/lisael/aioraft, https://github.com/cb372/raft, https://github.com/wayoutmind/melee, https://github.com/cloud-software-foundation/c5-replicator, https://github.com/noeleo/raft, https://github.com/unshiftio/liferaft, https://github.com/devatwork/NRaft, https://github.com/coreos/etcd, https://github.com/ongardie/dissertation#readme, https://github.com/bspolley/raft, https://github.com/evanphx/zodiac-prime, https://github.com/ktoso/akka-raft, https://github.com/logcabin/logcabin, https://github.com/celluloid/floss, https://github.com/dushyant89/CS-733, https://github.com/burma-shave/chelan, https://github.com/goraft/raft, https://github.com/amidvidy/whitewater, https://github.com/opendaylight/controller, https://github.com/kurin/py-raft, https://github.com/peterbourgon/raft, https://github.com/srned/Prez, https://github.com/filipecampos/raft4ws, https://github.com/pablosmedina/ckite, https://github.com/dupdob/RAFTiNG, https://github.com/kaarelk/r4j, https://github.com/mgodave/barge, https://github.com/NicolasT/kontiki, https://github.com/chicm/CmRaft, https://github.com/hashicorp/raft, https://github.com/huy/yora, https://github.com/rodriguezvalencia/rafting, https://github.com/dev-urandom/graft, https://github.com/tkellogg/Raft-JVM, https://github.com/dannycoates/raft-core, https://github.com/ylamgarchal/chillaxd, https://github.com/lionelbarrow/seaturtles, https://github.com/archie/raft, https://github.com/heidi-ann/ocaml-raft, https://github.com/drpicox/uoc-raft-2013p, https://github.com/kanaka/raft.js, https://github.com/raft/raft.github.io, https://github.com/harryw/raft]
[INFO ] 2015-12-28 16:16:46,738 razborpoletov.reader.utils.UrlUtils - http://www.hemingwayapp.com/ url has no github links
[WARN ] 2015-12-28 16:16:47,359 razborpoletov.reader.utils.UrlUtils - https://github.com/blog/2047-language-trends-on-github url contains more than one github links: [https://github.com/blog/32-rails-moving-to-git, https://github.com/github/linguist, https://github.com/site/terms, https://github.com/site/privacy]
[WARN ] 2015-12-28 16:16:47,703 razborpoletov.reader.parsers.UsefulThingParser - {} url not contains html body
[INFO ] 2015-12-28 16:16:48,816 razborpoletov.reader.utils.UrlUtils - http://marked2app.com/ url has no github links
[WARN ] 2015-12-28 16:16:50,328 razborpoletov.reader.utils.UrlUtils - http://habrahabr.ru/company/luxoft/blog/256877/ url contains more than one github links: [https://github.com/vigna/fastutil, https://github.com/google/guava, https://github.com/goldmansachs/gs-collections, https://github.com/JCTools/JCTools, https://github.com/Vedenin/java_collections_overview, https://github.com/kravchik/jcommon, https://github.com/OpenHFT/Koloboke, https://github.com/aNNiMON/Lightweight-Stream-API]
[INFO ] 2015-12-28 17:02:39,594 razborpoletov.reader.App - All podcasts are parsed
[INFO ] 2015-12-28 17:03:01,167 razborpoletov.reader.App - All podcasts are parsed
[WARN ] 2015-12-28 17:19:23,938 razborpoletov.reader.App - Properties file is not exists
[INFO ] 2015-12-29 08:29:21,405 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 11:30:58,489 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 11:44:02,138 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 12:16:08,871 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 12:20:08,960 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 12:26:50,085 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 12:27:01,062 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-23-episode-1-officially-on-air.html statistic
[INFO ] 2015-12-29 12:38:44,972 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 14:03:40,593 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 14:04:24,946 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-16-episode-0-pilot.html statistic
[INFO ] 2015-12-29 14:04:33,958 razborpoletov.reader.parsers.StatisticParser - Parse 2011-11-23-episode-1-officially-on-air.html statistic
[INFO ] 2015-12-29 14:04:45,838 razborpoletov.reader.parsers.StatisticParser - Parse 2011-12-06-episode-2-scala.html statistic
[INFO ] 2015-12-29 14:04:56,502 razborpoletov.reader.parsers.StatisticParser - Parse 2011-12-16-episode-3.html statistic
